"Album Title","Song title","Primary artist",Featuring,Authors,Composer,Producer,"Singer Instagram Handle","Label Name","Lyrics Languages","Music Genre","Music Sub-Genre","Music Mood","Release date","All Music Streaming Store","YouTube Music","YouTube Content ID",Explicit,"Caller Tune","Caller Tune Name","Caller Tune Duration","Ask to generate an ISRC","ISRC Code",UPC/EAN,"Catalogue number","Upload Cover","Upload Song",Status
"Ek Khas Jan Dukh De Gayi Re","Bhari biji batabe","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETCVMDEH0FEFDFZ2ZWE6B.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Jwani Bhade pe ","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETG1M24M6DBA7ZNJQ4CTJ.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Chhora Aaja Mere gam","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETKKM10BN7RVQNC7BZJJ2.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Chhora Aiyo mere gam","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETPBM4BCKFG2SCT3F7ZRG.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Meri Rat Atariya aaja","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETRXMGKCJG1MTVCE382C0.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Hero raja rat","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETW7NS5E3DX23MD71J8AG.mp3,Pending
"Kot kacheri thano","Kot kacheri thano","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1A677DKD41EE1S2QVWZ4.mp3,Pending
"Kot kacheri thano","Bheej gayo toliyo hamaro","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1D1M05FXAMRD9Y28X2ZN.mp3,Pending
"Kot kacheri thano","Tuto dil kam na aabe","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1FFMHTFDH12F2TB8FZKG.mp3,Pending
"Kot kacheri thano","Sun raja ho","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1J1M9ZA8Y6QVH2GMX9K8.mp3,Pending
