"Chori Aa Gai Nai Sal New Year song","Shyamstudio ","Sonu Kushwah",Shyamstudio,Shyamstudio,"[Marshal Music Company] Shyam Studio",https://www.instagram.com/shyamstudio__official?igsh=MWs4ZWthOHV3OWI1ag==,2024-12-13,hindi,indian,rajasthani,romantic,Yes,Yes,Yes,Yes,"(Chori Aa Gai Nai Sal : 31)",INF512311185,01JEY4S01M2D1QXV62QTM486ZX.jpg,01JEY4S04HSD0TG0YQ2HQWRPX5.mp3
"Dulahan bankr bittu chali tu sasural Brajkishor kushwah q","Brajkishor Kushwah ","Jitendra rajput","Brajkishor kushwah","Jitendra rajput","Singer Brajkishor  Kushwah",https://www.instagram.com/writer__jitendra__rajput_729/profilecard/?igsh=ZWVzbzl5eDFmZXdu,2024-12-14,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311186,01JEZ6ZJMYEV4V6NN9JWPTDETW.jpg,01JEZ6ZK2X2A37FST87R7MKGM5.mp3
"chori bat btase tere chad gai lagun brajkishor kushwah ","Brajkishor Kushwah ","Jitendra rajput","Brajkishor kushwah","Jitendra rajput","Singer Brajkishor  Kushwah",https://www.instagram.com/writer__jitendra__rajput_729/profilecard/?igsh=ZWVzbzl5eDFmZXdu,2024-12-14,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311187,01JEZ7GWP1J06V8JZNNM71B0X7.jpg,01JEZ7GWWC3GSMXVGCXNS3ZPXR.mp3
"Kai Dukha Payo Mahari Mohbbat Me ","Pintu Saini ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",i_am_pintu_saini_suroth,2024-12-13,hindi,pop,bollywood_pop,sad,Yes,Yes,Yes,Yes,No,INF512311188,01JEZEVD3PBRAEYEZ5ANHXPEEZ.jpg,01JEZEVDFC6SPYCFAXRRA9A4R2.mp3
"Gift mein gold ring lele brajkishor kushwah ","Brajkishor Kushwah ","Jitendra rajput","Brajkishor kushwah","Jitendra rajput","Singer Brajkishor  Kushwah",https://www.instagram.com/writer__jitendra__rajput_729/profilecard/?igsh=ZWVzbzl5eDFmZXdu,2024-12-14,hindi,folk,bollywood_dance,happy,Yes,Yes,Yes,Yes,"(Gift mein mein gold ring leja : 30)",INF512311189,01JEZEWYVDEHPPWZSJCF4KC4TF.jpg,01JEZEWYX8P3XAQ7GRTQZPP3SS.mp3
"Chora Mero Dev Uthani Ne Dil Todo ","Pintu Saini ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",i_am_pintu_saini_suroth,2024-12-13,hindi,pop,bollywood_pop,sad,Yes,Yes,Yes,Yes,No,INF512311190,01JEZFHD5NTB4PSSE9F87819SB.jpg,01JEZFHDFDB1A8H0E5XRMAXPTH.mp3
"Thari Ka Okhat Mosu Ladba Ki ","Pintu Saini ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",i_am_pintu_saini_suroth,2024-12-13,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,No,INF512311191,01JEZFW3V454421KSX7FC3FKSC.jpg,01JEZFW40WHX1DHPHTKM6G5Y47.mp3
"piyar se yaar bulai leti nakhare mein brajkishor kushwah ","Brajkishor Kushwah ","Jitendra rajput","Brajkishor kushwah","Jitendra rajput","Singer Brajkishor  Kushwah",https://www.instagram.com/writer__jitendra__rajput_729/profilecard/?igsh=ZWVzbzl5eDFmZXdu,2024-12-14,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311192,01JF011989684266V3DP6Z9GFS.jpg,01JF01198B32XRPNT6D7KZKNP7.mp3
"Koi Kaai Khehgo Aagi Naai Saal","Halkeram Meena","Halkeram Meena","Halkeram Meena","Halkeram Meena","Ashok Ladli Ka Bas",ashokladlikabas,2024-12-14,rajasthani,pop,world,romantic,Yes,Yes,No,No,No,INF512311193,01JF2KN320QQSS9SHV468C0Z87.jpg,01JF2KN3VM5VYSCHH4BJ3452E2.mp3
"Ham he kudhwanshi ke sher","Singer Shishupal Kushwah , Editor Anil kushwah ","Editor Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-12-14,hindi,pop,indie_pop,sad,Yes,Yes,Yes,Yes,"(00:00:30 : Shishupal Kushwah)",INF512311194,01JF31D9E0B2PV218A7CJXPE37.jpg,01JF31D9HMH2K1B8TY33XT87GA.mp3
"Janu Janu kahane wali","Singer Shishupal Kushwah , Editor Anil kushwah ","Editor Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-12-14,hindi,pop,indie_pop,sad,Yes,Yes,Yes,Yes,"(00:00:40 : Janu Janu kahane vali)",INF512311195,01JF31M1EKPF8MZW3HNYE7B4KD.jpg,01JF31M1HWCW5BFN6GFMYYM4AF.mp3
"Kushwah ji ke chhore","Singer Shishupal Kushwah , Editor Anil kushwah ","Editor Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-12-14,hindi,folk,indie_pop,happy,Yes,Yes,Yes,Yes,"(00:00:30 : Kushwah ji ke chhore)",INF512311196,01JF31T3E4N6CBMKESD1EBTMWV.jpg,01JF31T3HCF5H2D396XHY41YRT.mp3
"Sari man ki kar di","Singer Shishupal Kushwah , Editor Anil kushwah ","Editor Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-12-14,hindi,pop,indie_pop,happy,Yes,Yes,Yes,Yes,"(Sari man ki kar di : 00:00:30)",,01JF3202VMN312Q88FJMFEXQDZ.jpg,01JF3202Z4NFYTJCPHJCQDCRZV.mp3
"Dil phut phut robe mero","Singer Shishupal Kushwah , Editor Anil kushwah ","Editor Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-12-14,hindi,pop,indie_pop,sad,Yes,Yes,Yes,Yes,"(Dil phut phut ke rota hai : 00:00:30)",INF512311197,01JF3265MKKFPHTFKFXYM6TGR4.jpg,01JF3265R4Q45WZG02WDWFACNQ.mp3
